IDSubject,NameSubject,Credit
CSE123,Phan tich du lieu lon,2
CSE124,Hoc may,2
CSE125,Khai pha du lieu,3
CSE126,Hoc sau,2
CSE127,Tri tue nhan tao,3
CSE128,Xu ly anh,2
CSE129,Xu ly am thanh,2
CSE130,Phat trien game,2
CSE131,Nhap mon Cong nghe thong tin,2
CSE132,Cau truc du lieu va giai thuat,3
CSE133,Lap trinh huong doi tuong,2
CSE134,Co so du lieu,2
CSE135,Mang may tinh,2
CSE136,Phat trien phan mem,3
CSE137,Tri tue nhan tao,2
CSE138,Bao mat thong tin,3
KT567,Kinh te so,3
KT568,Kinh doanh thuong mai,2
KT569,Tai chinh tien te,3
KT570,Ke toan,2
KT571,Kinh te vi mo,2
KT572,Nguyen ly ke toan,2
KT573,Quan tri Marketing,3
KT574,Thanh toan quoc te,3
KT575,Tai chinh quoc te,3
KT576,Nguyen ly kinh te vi mo,3
KT577,Phap luat kinh te,3
KT578,Quan tri hoc,2
KT579,To chuc ke toan,2
KT580,Ke toan chi phi,3
KT581,Ke toan may,2
KT582,Quan tri tac nghiep,2
CK789,Co hoc,3
CK790,Suc ben vat lieu,3
CK791,Thiet ke may,2
CK792,Ky thuat che tao,2
CK793,Co hoc chat long,2
CK794,Dung cu va do luong,3
CK795,Thuy luc,3
CK796,Khi nen,3
CK797,Vat ly co,3
CK798,Cat got kim loai,3
CK799,Co so thiet ke may,2
CK800,Ky thuat khuon dap,3
CK801,Ky thuat nhiet,2
CK802,Vi dieu khien,3
CK803,Ky thuat dien tu,3
CK804,May nang,2